CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Ford Figo Aspire 1.5 TDCi Trend        8        574998.75        152620        Diesel        Broker        Manual        First Owner
Mahindra Scorpio SLE BSIV        11        656250        149000        Diesel        Direct Owner        Manual        First Owner
Tata Manza Club Class Quadrajet90 LS        9        250000        104000        Diesel        Direct Owner        Manual        First Owner
Toyota Corolla Altis 1.8 VL AT        13        437500        84000        Petrol        Direct Owner        Automatic        Third Owner
Tata Indigo CS eLS BS IV        12        225000        124000        Diesel        Direct Owner        Manual        First Owner
Skoda Octavia Classic 1.9 TDI MT        19        150000        124000        Diesel        Direct Owner        Manual        Second Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional        10        437500        104000        Petrol        Direct Owner        Manual        First Owner
Hyundai Getz 1.5 CRDi GVS        15        293750        64208        Diesel        Broker        Manual        First Owner
Maruti Alto 800 Base        9        218750        44000        Petrol        Direct Owner        Manual        First Owner
Datsun GO T BSIV        9        350000        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire AMT ZXI Plus BS IV        6        887500        12000        Petrol        Direct Owner        Automatic        First Owner
Ford Figo Diesel Celebration Edition        10        325000        69000        Diesel        Direct Owner        Manual        First Owner
Hyundai Santro Magna AMT BSIV        4        500000        20000        Petrol        Direct Owner        Automatic        First Owner
Honda City i DTEC VX        9        750000        104000        Diesel        Direct Owner        Manual        First Owner
Renault Duster 110PS Diesel RxZ        11        612500        104000        Diesel        Direct Owner        Manual        First Owner
Skoda Laura L n K 1.9 PD        17        437500        104000        Diesel        Direct Owner        Manual        First Owner
Mitsubishi Pajero Sport 4X4        11        1362500        124000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto K10 LXI CNG        3        352500        44000        CNG        Direct Owner        Manual        First Owner
Maruti Swift Dzire ZXI        8        768750        114000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift VXI        10        593750        64000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ritz VDi        12        187500        44000        Diesel        Direct Owner        Manual        Second Owner
Maruti Ignis 1.2 Alpha BSIV        6        625000        13161        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XS        14        187500        72000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 1.2 CRDi Magna        8        437500        65658        Diesel        Broker        Manual        First Owner
Datsun RediGO T Option        7        287498.75        41500        Petrol        Direct Owner        Manual        Second Owner
Honda City i DTEC V        9        643750        94000        Diesel        Direct Owner        Manual        Second Owner
Nissan Micra XL        9        262500        44000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 4WD        11        812500        80290        Diesel        Broker        Manual        First Owner
Hyundai Verna CRDi 1.6 AT EX        5        1375000        29000        Diesel        Direct Owner        Automatic        Second Owner
Maruti Wagon R LXI        22        87500        121000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        9        937500        104000        Diesel        Direct Owner        Manual        Second Owner
Maruti Ritz VDi        11        137500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift DDiS LDI        7        687500        58000        Diesel        Broker        Manual        First Owner
Mahindra Xylo H4 ABS        7        1062500        44000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        4        237500        9000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R Stingray VXI        9        375000        79000        Petrol        Direct Owner        Manual        First Owner
Ford Aspire Titanium Plus Diesel BSIV        5        1077498.75        24000        Diesel        Broker        Manual        First Owner
Maruti Zen Estilo LXI BSIII        15        131250        44000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDI        4        850000        44000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Polo GTI        6        1062500        24000        Petrol        Broker        Automatic        Second Owner
Hyundai Santro Xing XL eRLX Euro III        17        125000        64000        Petrol        Broker        Manual        Second Owner
Maruti Celerio VDi        7        300000        94000        Diesel        Direct Owner        Manual        Third Owner
Tata Manza Aura Quadrajet BS IV        11        313748.75        39000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto 800 LXI        11        250000        94000        Petrol        Direct Owner        Manual        Third Owner
Hyundai Grand i10 Magna        8        400000        74000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Cruze LT        12        437500        78000        Diesel        Direct Owner        Manual        Second Owner
Maruti Ciaz VXi        8        687500        73782        Petrol        Broker        Manual        First Owner
Toyota Innova 2.5 VX (Diesel) 7 Seater        10        1187500        84000        Diesel        Direct Owner        Manual        Third Owner
Mahindra Bolero Power Plus Plus AC BSIV PS        8        537500        204000        Diesel        Direct Owner        Manual        First Owner
Mahindra Thar CRDe        5        1187500        24000        Diesel        Direct Owner        Manual        First Owner
Maruti Ritz VDi        11        312500        114000        Diesel        Direct Owner        Manual        Fourth & Above Owner
Maruti Swift ZXi BSIV        6        687500        42000        Petrol        Broker        Manual        First Owner
Maruti Wagon R VXI BS IV with ABS        9        362500        68000        Petrol        Direct Owner        Manual        Second Owner
BMW X1 sDrive 20d xLine        6        3437500        17000        Diesel        Direct Owner        Automatic        First Owner
Tata Zest Quadrajet 1.3 XM        8        500000        104000        Diesel        Direct Owner        Manual        First Owner
Nissan Micra Active XV S        10        205000        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna CRDi SX        15        287498.75        150000        Diesel        Direct Owner        Manual        Third Owner
Tata Hexa XTA        6        1500000        54000        Diesel        Direct Owner        Automatic        First Owner
Honda Brio V MT        9        531250        33654        Petrol        Trustmark Broker        Manual        First Owner
Maruti Alto K10 VXI        8        331250        64000        Petrol        Direct Owner        Manual        First Owner
Ford EcoSport 1.5 TDCi Titanium BSIV        5        1187500        25394        Diesel        Broker        Manual        First Owner
Mahindra Scorpio REV 116        17        275000        224000        Petrol        Direct Owner        Manual        Second Owner
Ford Aspire Titanium Diesel BSIV        7        750000        159201        Diesel        Broker        Manual        First Owner
Hyundai Xcent 1.1 CRDi S        7        337500        179000        Diesel        Direct Owner        Manual        First Owner
Maruti Celerio VXI        6        537500        97000        Petrol        Broker        Manual        First Owner
Maruti Alto LXi        17        75000        104000        Petrol        Direct Owner        Manual        Second Owner
Toyota Innova Crysta 2.4 GX AT        5        2156250        27974        Diesel        Broker        Automatic        Second Owner
Maruti Swift ZDi        11        437500        59000        Diesel        Broker        Manual        First Owner
Volkswagen Polo Diesel Trendline 1.2L        11        331250        59000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Scorpio 2.6 SLX CRDe        17        375000        124000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna CRDi 1.6 SX Option        5        1437500        30430        Diesel        Broker        Manual        First Owner
Ford Figo Diesel Titanium        11        531250        85632        Diesel        Broker        Manual        First Owner
Nissan Terrano XL Plus 85 PS        8        563750        104000        Diesel        Direct Owner        Manual        First Owner
Maruti Ertiga 1.5 VDI        3        687500        94000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio 2.6 CRDe SLE        10        375000        74000        Diesel        Direct Owner        Manual        Second Owner
Chevrolet Spark 1.0 LS        11        167500        94000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Skoda Fabia 1.2 MPI Ambition Plus        11        375000        54000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Era        10        331250        54000        Petrol        Direct Owner        Manual        First Owner
Jeep Compass 2.0 Longitude Option BSIV        5        2125000        54000        Diesel        Direct Owner        Manual        First Owner
Audi A6 2.0 TDI Premium Plus        10        1625000        62500        Diesel        Broker        Automatic        First Owner
Maruti Swift VDI BSIV        9        487500        94000        Diesel        Direct Owner        Manual        First Owner
