Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,13.306666,13.333333,13.200000,13.269333,11.246441,138750
1997-01-02,13.320000,13.413333,12.800000,12.854666,10.894989,76875
1997-01-03,12.933333,12.946666,12.533333,12.696000,10.760512,73125
1997-01-06,12.880000,12.880000,12.133333,12.558666,10.644117,88125
1997-01-07,12.532000,12.666666,12.426666,12.633333,10.707398,228750
1997-01-08,12.933333,12.986666,12.834666,12.934666,10.962795,151875
1997-01-09,13.013333,13.573333,13.013333,13.458666,11.406911,318750
1997-01-10,13.573333,14.132000,13.573333,14.132000,11.977594,701250
1997-01-13,14.161333,14.453333,14.137333,14.362666,12.173098,663750
1997-01-14,14.426666,14.513333,14.400000,14.505333,12.294014,376875
1997-01-15,14.773333,14.986666,14.720000,14.926666,12.651117,348750
1997-01-16,15.066666,15.066666,14.186666,14.292000,12.113201,271875
1997-01-17,14.000000,14.266666,14.000000,14.205333,12.039750,204375
1997-01-20,14.028000,14.477333,14.028000,14.100000,11.950475,146250
1997-01-21,13.946666,13.946666,13.413333,13.562666,11.495057,313125
1997-01-22,13.785333,13.840000,13.736000,13.814666,11.708637,105000
1997-01-23,13.814666,13.814666,13.814666,13.814666,11.708637,0
1997-01-24,13.762666,13.860000,13.553333,13.724000,11.631795,76875
1997-01-27,13.813333,14.078666,13.813333,13.878666,11.762882,157500
1997-01-28,13.893333,13.920000,13.762666,13.890666,11.773049,131250
1997-01-29,14.000000,14.320000,13.760000,14.221333,12.053307,204375
1997-01-30,14.133333,14.646666,14.133333,14.589333,12.365210,225000
1997-01-31,14.400000,14.533333,14.189333,14.376000,12.184398,748125
1997-02-03,14.133333,14.260000,14.066666,14.120000,11.967424,144375
1997-02-04,14.078666,14.078666,13.733333,13.850666,11.739150,148125
1997-02-05,14.346666,14.373333,14.002666,14.018666,11.881536,112500
1997-02-06,14.000000,14.049333,13.786666,13.868000,11.753841,136875
1997-02-07,13.866666,14.053333,13.866666,14.020000,11.882668,150000
1997-02-10,14.000000,14.134666,14.000000,14.105333,11.954993,127500
1997-02-11,14.000000,14.186666,13.973333,14.132000,11.977594,125625
1997-02-12,14.213333,14.320000,14.136000,14.290666,12.112073,120000
1997-02-13,14.213333,14.993333,14.162666,14.866666,12.600263,562500
1997-02-14,14.985333,15.186666,14.733333,14.789333,12.534720,431250
1997-02-17,14.668000,14.960000,14.668000,14.938666,12.661286,380625
1997-02-18,14.773333,15.440000,14.773333,15.297333,12.965277,1211250
1997-02-19,15.253333,15.466666,15.093333,15.374666,13.030819,541875
1997-02-20,15.254666,15.360000,14.993333,15.070666,12.773164,260625
1997-02-21,14.930666,15.120000,14.930666,15.005333,12.717791,148125
1997-02-24,14.973333,14.982666,14.266666,14.412000,12.214909,346875
1997-02-25,14.266666,14.720000,14.266666,14.412000,12.214909,371250
1997-02-26,14.400000,14.453333,14.366666,14.421333,12.222819,88125
1997-02-27,14.613333,14.613333,14.454666,14.562666,12.342606,61875
1997-02-28,14.933333,15.200000,14.693333,14.698666,12.457874,75000
1997-03-03,15.733333,16.106667,15.600000,15.905333,13.480585,309375
1997-03-04,15.893333,16.160000,15.653333,16.098665,13.644444,290625
1997-03-05,16.400000,16.533333,16.160000,16.260000,13.781182,420000
1997-03-06,16.000000,16.398666,16.000000,16.278666,13.797008,298125
1997-03-07,null,null,null,null,null,null
1997-03-10,16.001333,16.001333,15.493333,15.868000,13.448944,618750
1997-03-11,15.733333,16.133333,15.600000,15.960000,13.526919,982500
1997-03-12,16.069332,16.293333,15.813333,16.256001,13.777794,678750
1997-03-13,16.094666,16.286667,16.093332,16.241333,13.765364,1076250
1997-03-14,16.188000,16.397333,16.186666,16.378666,13.881760,294375
1997-03-17,16.266666,16.400000,16.242666,16.372000,13.876111,195000
1997-03-18,16.320000,16.533333,16.320000,16.351999,13.859157,810000
1997-03-19,16.453333,16.533333,16.333332,16.506666,13.990248,600000
1997-03-20,16.273333,16.488001,16.214666,16.488001,13.974425,697500
1997-03-21,16.441334,16.533333,16.400000,16.494665,13.980076,637500
1997-03-24,16.494665,16.494665,16.494665,16.494665,13.980076,0
1997-03-25,16.520000,16.544001,16.320000,16.516001,13.998158,461250
1997-03-26,16.561333,16.612000,16.453333,16.534666,14.013978,138750
1997-03-27,16.453333,16.533333,16.400000,16.483999,13.971036,328125
1997-03-28,16.483999,16.483999,16.483999,16.483999,13.971036,0
1997-03-31,15.733333,15.760000,15.573333,15.658666,13.271523,1021875
1997-04-01,15.466666,16.406666,15.266666,16.250666,13.773274,236250
