Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,78.750000,82.349998,78.750000,80.004997,68.087135,1461140
2004-01-02,80.500000,81.495003,79.000000,79.587502,67.731819,1047740
2004-01-05,82.099998,83.699997,78.250000,78.635002,66.921219,829160
2004-01-06,80.250000,80.250000,74.000000,74.877502,63.723442,802240
2004-01-07,76.000000,76.394997,70.250000,72.150002,61.402252,1648460
2004-01-08,74.250000,74.250000,71.000000,71.517502,60.863964,1620740
2004-01-09,73.949997,76.995003,72.750000,75.510002,64.261726,2234400
2004-01-12,75.900002,75.900002,71.139999,71.769997,61.078838,887020
2004-01-13,73.099998,73.099998,69.504997,70.855003,60.300148,1071540
2004-01-14,71.245003,75.400002,71.199997,74.894997,63.738323,1732200
2004-01-15,76.500000,76.500000,73.330002,74.004997,62.980911,1060720
2004-01-16,74.449997,76.250000,73.099998,74.930000,63.768124,1024300
2004-01-19,75.699997,76.750000,71.250000,72.855003,62.002220,515060
2004-01-20,73.500000,74.849998,70.550003,71.565002,60.904392,511740
2004-01-21,71.750000,73.000000,69.550003,70.605003,60.087387,872800
2004-01-22,71.500000,73.500000,69.500000,71.982498,61.259682,1045740
2004-01-23,73.250000,73.500000,69.050003,70.724998,60.189510,766300
2004-01-26,70.724998,70.724998,70.724998,70.724998,60.189510,0
2004-01-27,71.500000,75.500000,71.500000,73.870003,62.866028,1004280
2004-01-28,75.500000,76.250000,73.572502,74.599998,63.487263,1150320
2004-01-29,74.500000,76.750000,74.129997,75.879997,64.576599,798980
2004-01-30,75.750000,76.727501,74.510002,74.907501,63.748970,500480
2004-02-02,74.907501,74.907501,74.907501,74.907501,63.748970,0
2004-02-03,75.500000,75.500000,72.500000,72.702499,61.872437,548560
2004-02-04,73.750000,73.849998,72.500000,73.572502,62.612839,391640
2004-02-05,74.349998,77.150002,73.000000,76.002502,64.680847,631640
2004-02-06,76.750000,76.750000,74.102501,74.464996,63.372372,156420
2004-02-09,74.934998,74.934998,72.605003,73.142502,62.246883,214580
2004-02-10,73.900002,74.000000,72.110001,72.587502,61.774567,445920
2004-02-11,74.000000,75.500000,73.000000,73.447502,62.506458,424560
2004-02-12,72.550003,75.000000,72.500000,74.312500,63.242615,629780
2004-02-13,74.650002,78.000000,73.750000,75.970001,64.653191,1376320
2004-02-16,75.750000,83.567497,75.205002,83.567497,71.118927,1663860
2004-02-17,85.000000,87.599998,82.605003,83.562500,71.114677,1698240
2004-02-18,84.000000,86.720001,81.000000,81.995003,69.780693,1375300
2004-02-19,82.449997,89.449997,80.250000,86.847504,73.910339,3190740
2004-02-20,88.000000,90.900002,83.250000,88.000000,74.891144,3794920
2004-02-23,87.750000,91.440002,85.300003,87.084999,74.112473,2055620
2004-02-24,86.750000,88.449997,85.500000,86.959999,74.006096,1044820
2004-02-25,87.500000,95.657501,87.500000,95.657501,81.407959,3054960
2004-02-26,96.750000,99.650002,93.050003,94.957497,80.812218,3704260
2004-02-27,95.550003,97.699997,95.500000,95.970001,81.673897,1245860
2004-03-01,96.250000,102.400002,93.815002,101.074997,86.018448,4485140
2004-03-02,101.074997,101.074997,101.074997,101.074997,86.018448,0
