Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,40.500000,41.250000,40.000000,41.250000,35.458492,56400
1997-01-02,43.000000,43.312500,42.250000,42.525002,36.554482,205600
1997-01-03,42.500000,42.875000,41.799999,42.625000,36.640434,316800
1997-01-06,42.387501,43.125000,42.037498,42.387501,36.436283,55200
1997-01-07,41.887501,42.125000,40.787498,41.150002,35.372532,135200
1997-01-08,43.000000,43.212502,42.375000,43.212502,37.145451,174000
1997-01-09,44.974998,45.250000,43.625000,43.875000,37.714939,306400
1997-01-10,44.625000,46.075001,44.325001,46.075001,39.606060,312000
1997-01-13,46.750000,47.275002,46.287498,47.275002,40.637573,253200
1997-01-14,47.287498,47.287498,47.287498,47.287498,40.648327,28400
1997-01-15,49.599998,49.650002,49.599998,49.650002,42.679123,58000
1997-01-16,52.125000,52.137501,47.750000,48.512501,41.701332,338400
1997-01-17,47.625000,48.474998,46.087502,47.299999,40.659069,289600
1997-01-20,47.962502,47.962502,45.012501,45.562500,39.165512,177600
1997-01-21,45.025002,45.750000,43.512501,43.912498,37.747177,224000
1997-01-22,44.250000,45.924999,44.250000,45.150002,38.810932,126800
1997-01-23,45.150002,45.150002,45.150002,45.150002,38.810932,0
1997-01-24,45.025002,45.362499,43.812500,44.137501,37.940575,300000
1997-01-27,45.000000,45.362499,44.512501,44.887501,38.585281,95200
1997-01-28,44.987499,45.437500,44.500000,45.000000,38.681988,144000
1997-01-29,46.862499,46.875000,44.775002,45.000000,38.681988,188800
1997-01-30,44.400002,44.875000,43.325001,44.275002,38.058788,96400
1997-01-31,43.025002,43.612499,42.500000,42.775002,36.769375,73200
1997-02-03,42.775002,42.237499,41.387501,41.637501,35.791588,87200
1997-02-04,41.500000,42.000000,41.387501,41.674999,35.823814,139200
1997-02-05,42.750000,43.737499,42.000000,42.287498,36.350323,138400
1997-02-06,42.700001,42.712502,42.000000,42.325001,36.382557,44800
1997-02-07,42.862499,42.862499,42.250000,42.500000,36.532997,43200
1997-02-10,42.500000,42.987499,42.287498,42.349998,36.404045,28000
1997-02-11,42.250000,42.500000,42.049999,42.312500,36.371811,89600
1997-02-12,43.099998,43.200001,42.562500,42.712502,36.715649,67600
1997-02-13,42.875000,42.987499,42.250000,42.887501,36.866085,140800
1997-02-14,43.075001,45.037498,43.075001,44.950001,38.639004,328400
1997-02-17,46.500000,46.724998,45.587502,46.150002,39.670532,324400
1997-02-18,46.424999,46.437500,44.812500,45.075001,38.746452,153200
1997-02-19,45.687500,47.325001,44.375000,46.825001,40.250755,303600
1997-02-20,46.275002,47.500000,46.025002,46.349998,39.842438,258000
1997-02-21,45.762501,46.150002,45.049999,45.187500,38.843163,141200
1997-02-24,44.637501,44.637501,42.937500,43.500000,37.392590,234800
1997-02-25,42.950001,44.224998,42.012501,42.799999,36.790867,256800
1997-02-26,43.112499,43.862499,42.937500,43.637501,37.510777,112800
1997-02-27,44.000000,44.625000,43.500000,44.450001,38.209206,162400
1997-02-28,46.212502,46.224998,44.000000,45.662498,39.251472,161600
1997-03-03,48.750000,50.349998,48.625000,50.349998,43.280846,162400
1997-03-04,51.250000,52.862499,50.012501,52.862499,45.440582,631600
1997-03-05,55.500000,55.500000,54.500000,55.500000,47.707783,883600
1997-03-06,56.250000,58.275002,55.500000,58.275002,50.093170,820800
1997-03-07,58.275002,58.275002,58.275002,58.275002,50.093170,0
1997-03-10,57.500000,57.750000,55.362499,55.362499,47.589596,403600
1997-03-11,53.750000,55.000000,52.599998,52.799999,45.386868,526000
1997-03-12,54.500000,55.450001,54.500000,55.450001,47.664810,249600
1997-03-13,56.250000,56.974998,56.000000,56.337502,48.427700,312400
1997-03-14,56.250000,56.625000,55.387501,56.487499,48.556637,191600
1997-03-17,56.612499,56.750000,55.762501,55.987499,48.126835,166000
