Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,2.850000,2.900000,2.850000,2.900000,0.883109,6000
1997-01-02,3.000000,3.105000,3.000000,3.100000,0.944013,68000
1997-01-03,3.050000,3.100000,2.885000,3.010000,0.916606,73000
1997-01-06,3.000000,3.080000,2.960000,2.975000,0.905948,52000
1997-01-07,2.925000,2.975000,2.900000,2.945000,0.896812,49000
1997-01-08,3.100000,3.150000,3.100000,3.105000,0.945536,74000
1997-01-09,3.050000,3.055000,3.000000,3.000000,0.913561,49000
1997-01-10,3.100000,3.100000,3.035000,3.085000,0.939445,46000
1997-01-13,2.950000,3.040000,2.900000,3.035000,0.924219,76000
1997-01-14,2.935000,2.975000,2.900000,2.945000,0.896812,37000
1997-01-15,3.050000,3.150000,2.955000,3.105000,0.945536,37000
1997-01-16,3.255000,3.295000,3.025000,3.075000,0.936400,58000
1997-01-17,2.905000,3.000000,2.900000,3.000000,0.913561,22000
1997-01-20,2.945000,2.945000,2.790000,2.790000,0.849611,30000
1997-01-21,2.795000,2.795000,2.650000,2.675000,0.814592,57000
1997-01-22,2.700000,2.825000,2.650000,2.690000,0.819160,20000
1997-01-23,2.690000,2.690000,2.690000,2.690000,0.819160,0
1997-01-24,2.690000,2.690000,2.650000,2.670000,0.813069,15000
1997-01-27,2.625000,2.735000,2.625000,2.645000,0.805456,10000
1997-01-28,2.650000,2.655000,2.615000,2.620000,0.797843,396000
1997-01-29,2.675000,2.675000,2.625000,2.650000,0.806979,22000
1997-01-30,2.575000,2.650000,2.575000,2.620000,0.797843,14000
1997-01-31,2.550000,2.575000,2.450000,2.500000,0.761301,15000
1997-02-03,2.450000,2.450000,2.400000,2.450000,0.746075,15000
1997-02-04,2.500000,2.550000,2.350000,2.400000,0.730849,35000
1997-02-05,2.415000,2.450000,2.400000,2.405000,0.732371,20000
1997-02-06,2.400000,2.435000,2.400000,2.415000,0.735416,11000
1997-02-07,2.400000,2.450000,2.400000,2.435000,0.741507,7000
1997-02-10,2.500000,2.565000,2.500000,2.565000,0.781095,5000
1997-02-11,2.540000,2.540000,2.450000,2.490000,0.758256,20000
1997-02-12,2.565000,2.600000,2.560000,2.595000,0.790230,24000
1997-02-13,2.490000,2.550000,2.490000,2.530000,0.770436,6000
1997-02-14,2.525000,2.550000,2.500000,2.500000,0.761301,45000
1997-02-17,2.450000,2.520000,2.450000,2.485000,0.756733,18000
1997-02-18,2.430000,2.540000,2.425000,2.500000,0.761301,26000
1997-02-19,2.450000,2.560000,2.450000,2.560000,0.779572,34000
1997-02-20,2.520000,2.550000,2.520000,2.520000,0.767391,34000
1997-02-21,2.550000,2.560000,2.475000,2.560000,0.779572,17000
1997-02-24,2.510000,2.550000,2.510000,2.510000,0.764346,20000
1997-02-25,2.500000,2.565000,2.470000,2.540000,0.773481,51000
1997-02-26,2.550000,2.550000,2.525000,2.525000,0.768914,248000
1997-02-27,2.550000,2.680000,2.550000,2.675000,0.814592,8000
1997-02-28,2.675000,2.675000,2.675000,2.675000,0.814592,0
1997-03-03,2.800000,3.000000,2.700000,3.000000,0.913561,43000
1997-03-04,2.825000,2.950000,2.800000,2.815000,0.857225,29000
1997-03-05,2.950000,2.950000,2.850000,2.875000,0.875496,27000
1997-03-06,2.775000,2.900000,2.750000,2.750000,0.837431,24000
1997-03-07,2.750000,2.750000,2.750000,2.750000,0.837431,0
1997-03-10,2.750000,2.750000,2.610000,2.655000,0.808501,18000
1997-03-11,2.520000,2.640000,2.520000,2.550000,0.776527,32000
1997-03-12,2.575000,2.575000,2.530000,2.575000,0.784140,4000
1997-03-13,2.525000,2.575000,2.520000,2.575000,0.784140,5000
1997-03-14,2.550000,2.750000,2.550000,2.705000,0.823728,36000
1997-03-17,2.620000,2.650000,2.610000,2.610000,0.794798,9000
1997-03-18,2.600000,2.660000,2.600000,2.605000,0.793276,16000
1997-03-19,2.625000,2.625000,2.625000,2.625000,0.799366,1000
1997-03-20,2.550000,2.570000,2.550000,2.570000,0.782617,10000
1997-03-21,2.550000,2.550000,2.500000,2.510000,0.764346,16000
1997-03-24,2.510000,2.510000,2.510000,2.510000,0.764346,0
1997-03-25,2.500000,2.500000,2.430000,2.430000,0.739984,14000
1997-03-26,2.520000,2.520000,2.430000,2.450000,0.746075,7000
1997-03-27,2.450000,2.450000,2.400000,2.400000,0.730849,5000
1997-03-28,2.400000,2.400000,2.400000,2.400000,0.730849,0
1997-03-31,2.250000,2.250000,2.250000,2.250000,0.685171,3000
1997-04-01,2.150000,2.250000,2.150000,2.250000,0.685171,32000
1997-04-02,2.240000,2.325000,2.240000,2.325000,0.708010,18000
1997-04-03,2.275000,2.350000,2.275000,2.350000,0.715623,2000
1997-04-04,2.300000,2.300000,2.210000,2.255000,0.686693,9000
1997-04-07,2.215000,2.260000,2.215000,2.260000,0.688216,13000
1997-04-08,2.260000,2.260000,2.260000,2.260000,0.688216,0
1997-04-09,2.400000,2.400000,2.400000,2.400000,0.730849,2000
1997-04-10,2.450000,2.450000,2.350000,2.350000,0.715623,5000
1997-04-11,2.215000,2.215000,2.215000,2.215000,0.674512,2000
1997-04-14,2.215000,2.215000,2.215000,2.215000,0.674512,0
1997-04-15,2.250000,2.295000,2.215000,2.280000,0.694306,17000
1997-04-16,2.280000,2.280000,2.280000,2.280000,0.694306,0
1997-04-17,2.235000,2.440000,2.230000,2.375000,0.723236,40000
1997-04-18,2.375000,2.375000,2.375000,2.375000,0.723236,0
1997-04-21,2.495000,2.495000,2.415000,2.470000,0.752165,72000
1997-04-22,2.495000,2.500000,2.360000,2.380000,0.724758,44000
1997-04-23,2.355000,2.375000,2.350000,2.350000,0.715623,5000
1997-04-24,2.300000,2.300000,2.230000,2.230000,0.679080,17000
1997-04-25,2.200000,2.200000,2.185000,2.185000,0.665377,6000
1997-04-28,2.200000,2.200000,2.175000,2.175000,0.662332,6000
1997-04-29,2.150000,2.200000,2.105000,2.130000,0.648628,33000
1997-04-30,2.220000,2.220000,2.150000,2.150000,0.654719,30000
1997-05-01,2.150000,2.150000,2.150000,2.150000,0.654719,0
1997-05-02,2.100000,2.185000,2.100000,2.150000,0.654719,6000
1997-05-05,2.100000,2.200000,2.100000,2.130000,0.648628,14000
1997-05-06,2.075000,2.075000,2.010000,2.010000,0.612086,33000
1997-05-07,2.050000,2.140000,2.050000,2.100000,0.639493,20000
1997-05-08,2.190000,2.190000,2.075000,2.085000,0.634925,11000
1997-05-09,2.120000,2.120000,2.100000,2.100000,0.639493,11000
1997-05-12,2.075000,2.075000,2.030000,2.030000,0.618176,32000
1997-05-13,2.100000,2.100000,1.925000,1.960000,0.596860,34000
1997-05-14,1.925000,2.080000,1.925000,2.080000,0.633402,32000
1997-05-15,2.050000,2.100000,2.010000,2.100000,0.639493,9000
1997-05-16,2.100000,2.120000,2.090000,2.120000,0.645583,5000
1997-05-19,2.015000,2.060000,2.015000,2.055000,0.625789,29000
1997-05-20,1.950000,2.080000,1.950000,2.070000,0.630357,36000
1997-05-21,2.000000,2.100000,2.000000,2.100000,0.639493,17000
1997-05-22,2.100000,2.130000,2.065000,2.125000,0.647106,30000
1997-05-23,2.075000,2.200000,2.005000,2.095000,0.637970,57000
