Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,388.500000,399.799988,386.549988,389.649994,385.694092,1445743
2018-01-02,391.700012,398.000000,384.350006,395.500000,391.484711,1219713
2018-01-03,398.000000,398.299988,384.100006,385.649994,381.734680,2275082
2018-01-04,390.000000,401.950012,387.250000,399.000000,394.949188,2974278
2018-01-05,401.000000,412.000000,398.000000,407.000000,402.867950,3554479
2018-01-08,410.000000,428.299988,409.549988,422.100006,417.814697,3806105
2018-01-09,424.000000,447.649994,422.649994,435.500000,431.078613,6183645
2018-01-10,438.000000,441.899994,427.000000,429.250000,424.892059,2374166
2018-01-11,424.000000,449.799988,424.000000,446.700012,442.164917,2604294
2018-01-12,449.750000,458.700012,444.299988,455.950012,451.321014,5364763
2018-01-15,460.000000,488.000000,457.000000,474.850006,470.029144,5635852
2018-01-16,479.899994,494.299988,471.250000,482.649994,477.749939,8288750
2018-01-17,485.399994,488.200012,470.000000,478.399994,473.543060,5691140
2018-01-18,483.200012,489.799988,478.000000,485.049988,480.125549,1772870
2018-01-19,489.250000,491.350006,477.000000,481.500000,476.611572,3488403
2018-01-22,481.500000,488.850006,469.000000,470.200012,465.426331,3825798
2018-01-23,474.250000,474.250000,454.500000,458.549988,453.894592,3561221
2018-01-24,457.500000,460.000000,448.000000,455.250000,450.628113,2072037
2018-01-25,455.000000,460.000000,447.000000,448.500000,443.946625,1194340
2018-01-29,447.000000,452.600006,444.399994,445.350006,440.828644,1113037
2018-01-30,444.000000,448.100006,417.000000,421.850006,417.567200,3583717
2018-01-31,418.399994,432.899994,395.299988,427.000000,422.664886,14738305
2018-02-01,429.950012,452.000000,423.000000,448.250000,443.699158,4965461
2018-02-02,441.000000,455.000000,430.000000,442.399994,437.908539,5311751
2018-02-05,428.200012,444.000000,422.350006,441.700012,437.215668,2268830
2018-02-06,418.000000,440.700012,417.049988,438.799988,434.345123,1893871
2018-02-07,443.000000,449.299988,431.000000,433.450012,429.049438,1048027
2018-02-08,434.899994,444.750000,434.850006,441.500000,437.017700,927897
2018-02-09,430.299988,446.000000,430.299988,439.549988,435.087494,1008995
2018-02-12,442.000000,451.000000,435.049988,441.750000,437.265167,1944360
2018-02-14,441.799988,442.899994,431.000000,431.899994,427.515137,2159701
2018-02-15,433.000000,437.000000,428.000000,432.000000,427.614166,506167
2018-02-16,434.149994,435.299988,426.600006,431.450012,427.069763,522734
2018-02-19,432.000000,439.399994,426.799988,435.899994,431.474548,693977
2018-02-20,439.500000,442.000000,432.600006,434.500000,430.088745,781850
2018-02-21,438.899994,450.500000,436.149994,449.600006,445.035492,1312613
2018-02-22,447.200012,454.500000,443.899994,450.799988,446.223267,772690
2018-02-23,452.100006,471.700012,452.049988,468.850006,464.090057,1849448
2018-02-26,472.799988,472.799988,461.350006,468.299988,463.545624,920977
2018-02-27,467.899994,477.799988,460.000000,469.000000,464.238495,1378658
2018-02-28,467.500000,468.000000,460.000000,461.200012,456.517731,1358563
2018-03-01,461.899994,464.350006,450.100006,450.950012,446.371765,1102928
2018-03-05,450.000000,456.149994,448.100006,452.899994,448.301971,1249630
2018-03-06,457.000000,457.399994,445.100006,447.350006,442.808319,1595634
2018-03-07,446.450012,447.549988,435.000000,437.549988,433.107788,2900233
2018-03-08,441.000000,442.000000,427.700012,430.549988,426.178864,1951335
2018-03-09,434.750000,434.950012,423.000000,425.549988,421.229614,1494497
2018-03-12,429.950012,433.350006,425.500000,430.399994,426.030396,884484
2018-03-13,431.950012,445.500000,429.799988,441.950012,437.463165,1396863
2018-03-14,441.950012,447.899994,440.000000,445.250000,440.729645,872703
2018-03-15,445.000000,451.000000,443.600006,448.600006,444.045624,656358
2018-03-16,450.950012,450.950012,436.100006,443.299988,438.799408,553113
2018-03-19,440.000000,442.700012,425.000000,425.899994,421.576080,697119
2018-03-20,424.950012,428.649994,419.649994,422.850006,418.557037,1782357
2018-03-21,426.700012,438.000000,419.250000,422.500000,418.210602,1341420
