Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,265.000000,267.899994,260.000000,261.600006,130.167328,570776
2003-01-02,260.200012,263.899994,260.000000,261.100006,129.918503,263023
2003-01-03,261.149994,263.500000,261.000000,262.000000,130.366287,114923
2003-01-06,261.250000,263.399994,257.149994,258.649994,128.699432,143267
2003-01-07,259.250000,261.750000,250.750000,251.750000,125.266090,269805
2003-01-08,255.000000,256.149994,249.100006,252.850006,125.813446,361623
2003-01-09,253.199997,255.000000,249.100006,249.699997,124.246040,420255
2003-01-10,254.100006,264.000000,249.000000,250.250000,124.519691,362807
2003-01-13,251.000000,254.500000,247.100006,248.149994,123.474823,277478
2003-01-14,248.899994,250.199997,243.000000,245.649994,122.230865,369889
2003-01-15,246.000000,251.850006,244.100006,247.500000,123.151390,419788
2003-01-16,247.000000,253.800003,246.899994,250.000000,124.395363,546989
2003-01-17,251.449997,251.449997,245.000000,245.949997,122.380119,295456
2003-01-20,246.500000,247.399994,239.000000,239.850006,119.344894,490397
2003-01-21,240.100006,241.250000,235.750000,238.199997,118.523880,296871
2003-01-22,237.000000,240.250000,236.250000,238.600006,118.722908,516700
2003-01-23,238.649994,238.899994,237.149994,238.399994,118.623405,415371
2003-01-24,239.000000,239.250000,235.550003,236.699997,117.777534,129723
2003-01-27,237.800003,245.000000,235.100006,241.300003,120.066383,299079
2003-01-28,242.300003,246.000000,241.500000,242.850006,120.837639,149465
2003-01-29,243.300003,251.000000,242.600006,249.600006,124.196312,254004
2003-01-30,250.199997,258.000000,250.199997,255.250000,127.007637,345848
2003-01-31,252.899994,256.750000,252.000000,254.949997,126.858322,378368
2003-02-03,255.000000,256.000000,250.000000,253.000000,125.888115,152072
2003-02-04,252.250000,255.000000,252.250000,254.600006,126.684204,260153
2003-02-05,252.949997,253.899994,242.500000,245.600006,122.206001,325368
2003-02-06,245.949997,245.949997,235.000000,238.000000,118.424362,617600
2003-02-07,240.000000,265.000000,236.149994,237.500000,118.175552,507296
2003-02-10,238.000000,238.000000,229.350006,231.850006,115.364250,738464
2003-02-11,232.000000,233.699997,219.000000,220.149994,109.542534,821147
2003-02-12,219.000000,222.250000,208.050003,218.500000,108.721497,2196325
2003-02-13,218.500000,218.500000,218.500000,218.500000,108.721497,0
2003-02-14,221.000000,223.800003,205.100006,206.199997,102.601273,3290137
2003-02-17,209.800003,215.000000,209.800003,213.300003,106.134071,1340231
2003-02-18,214.899994,219.800003,213.300003,218.149994,108.547371,1402593
2003-02-19,220.000000,229.500000,219.500000,227.050003,112.975861,2232658
2003-02-20,226.000000,228.500000,221.750000,224.949997,111.930946,649271
2003-02-21,224.149994,224.149994,219.100006,220.250000,109.592285,410694
2003-02-24,222.000000,222.500000,216.800003,220.350006,109.642059,681182
2003-02-25,219.000000,223.000000,218.050003,221.000000,109.965500,578495
2003-02-26,222.000000,222.050003,218.199997,219.100006,109.020096,310194
2003-02-27,217.550003,221.500000,217.550003,220.500000,109.716690,459186
2003-02-28,222.149994,227.500000,222.100006,223.000000,110.960640,566769
2003-03-03,225.000000,226.000000,224.050003,225.000000,111.955811,249520
2003-03-04,224.399994,226.500000,221.850006,225.149994,112.030441,428621
2003-03-05,224.000000,225.199997,222.600006,224.300003,111.607513,422620
2003-03-06,223.500000,224.500000,222.500000,223.649994,111.284073,150394
2003-03-07,222.100006,225.000000,211.600006,212.949997,105.959938,313693
2003-03-10,212.000000,214.500000,209.800003,212.800003,105.885323,242552
2003-03-11,210.500000,233.600006,208.350006,226.600006,112.751938,854129
2003-03-12,232.000000,235.000000,217.600006,219.550003,109.243996,1510365
2003-03-13,219.500000,228.949997,218.100006,225.800003,112.353859,1533774
2003-03-14,225.800003,225.800003,225.800003,225.800003,112.353859,0
2003-03-17,226.050003,226.050003,220.100006,222.000000,110.463058,748340
2003-03-18,222.000000,222.000000,222.000000,222.000000,110.463058,0
2003-03-19,222.000000,224.500000,213.350006,216.050003,107.502449,940492
2003-03-20,217.000000,230.000000,214.500000,228.649994,113.771988,868968
2003-03-21,227.949997,229.000000,222.199997,225.500000,112.204597,663731
2003-03-24,225.000000,229.000000,223.649994,225.300003,112.105080,398105
2003-03-25,221.199997,224.500000,220.000000,222.899994,110.910873,293883
2003-03-26,225.000000,225.000000,213.600006,215.550003,107.253685,979683
2003-03-27,217.000000,217.000000,202.600006,203.350006,101.183197,1946929
2003-03-28,204.699997,206.449997,195.100006,196.850006,97.948883,1859417
2003-03-31,195.949997,195.949997,187.000000,188.199997,93.644806,855611
2003-04-01,189.800003,193.899994,184.149994,185.949997,92.525246,1317455
2003-04-02,188.449997,192.699997,188.199997,191.250000,95.162453,1004277
2003-04-03,193.000000,195.500000,192.000000,194.550003,96.804420,604907
2003-04-04,193.899994,193.899994,191.250000,193.399994,96.232231,395679
2003-04-07,195.449997,198.699997,194.100006,195.050003,97.053261,614338
2003-04-08,195.000000,195.750000,186.199997,188.699997,93.893616,728622
2003-04-09,188.000000,190.000000,181.100006,183.850006,91.480339,863471
2003-04-10,190.000000,193.800003,184.550003,193.000000,96.033203,1936412
2003-04-11,195.000000,207.500000,195.000000,206.000000,102.501762,2691883
2003-04-14,null,null,null,null,null,null
2003-04-15,207.000000,208.000000,194.750000,195.750000,97.401550,971311
2003-04-16,197.000000,197.000000,192.350006,194.199997,96.630302,598846
2003-04-17,194.500000,194.800003,185.500000,186.050003,92.575005,741387
2003-04-18,186.050003,186.050003,186.050003,186.050003,92.575005,0
2003-04-21,187.699997,190.000000,182.550003,183.199997,91.156906,663460
2003-04-22,184.949997,188.199997,180.050003,183.350006,91.231529,964891
2003-04-23,184.899994,191.949997,184.149994,188.050003,93.570175,1078315
2003-04-24,189.750000,191.399994,186.550003,187.949997,93.520424,906261
2003-04-25,190.000000,196.899994,188.100006,195.699997,97.376678,883145
2003-04-28,196.949997,199.149994,192.500000,196.899994,97.973770,619078
2003-04-29,198.899994,204.800003,198.500000,203.399994,101.208023,1077764
2003-04-30,203.500000,204.000000,199.750000,203.399994,101.208023,506227
2003-05-01,203.399994,203.399994,203.399994,203.399994,101.208023,0
2003-05-02,202.000000,206.399994,199.250000,205.449997,102.228073,831444
2003-05-05,206.899994,207.000000,204.199997,205.449997,102.228073,393924
2003-05-06,206.000000,210.800003,205.000000,209.699997,104.342819,487396
2003-05-07,211.000000,214.500000,207.149994,213.300003,106.134071,686401
2003-05-08,213.500000,214.000000,208.550003,209.649994,104.317909,536989
2003-05-09,208.600006,210.500000,205.000000,205.399994,102.203201,259249
2003-05-12,205.000000,208.899994,205.000000,206.050003,102.526642,206283
