Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,57.027149,57.878300,56.686687,57.461235,43.552254,80479
1997-01-02,57.878300,57.878300,56.269623,57.776161,43.790943,284908
1997-01-03,57.112263,57.963413,57.027149,57.886810,43.874809,35833
1997-01-06,58.303875,58.899681,57.878300,57.967670,43.936089,22910
1997-01-07,58.218761,59.155025,57.622955,58.678383,44.474792,130999
1997-01-08,58.559219,60.516869,58.559219,60.436008,45.806950,210303
1997-01-09,60.516869,61.282906,60.197685,61.282906,46.448853,27609
1997-01-10,62.538353,64.347054,62.134056,63.512920,48.139076,98689
1997-01-13,64.176819,65.240761,63.495899,65.117340,49.355125,111026
1997-01-14,66.811134,67.240967,65.538666,66.321724,50.267975,578040
1997-01-15,68.432579,69.624191,68.092117,69.309265,52.532372,195029
1997-01-16,71.496719,71.496719,66.474930,67.092010,50.851807,142160
1997-01-17,64.772629,67.236710,64.772629,66.389816,50.319592,475826
1997-01-20,66.389816,66.389816,63.836357,64.266190,48.710007,93402
1997-01-21,63.836357,65.113083,62.985207,64.564095,48.935814,333078
1997-01-22,64.364075,65.964241,64.364075,65.879120,49.932518,78716
1997-01-23,65.879120,65.879120,65.879120,65.879120,49.932518,0
1997-01-24,65.555687,67.411194,65.555687,66.474930,50.384102,365387
1997-01-27,67.240967,67.921883,66.645157,66.653671,50.519577,222639
1997-01-28,67.236710,68.092117,66.900505,67.947418,51.500168,126299
1997-01-29,66.491951,66.491951,65.900398,65.921677,49.964775,16448
1997-01-30,65.538666,65.879120,63.197994,63.666130,48.255203,220289
1997-01-31,62.819233,63.836357,62.729862,62.946907,47.710068,25847
1997-02-03,62.985207,62.985207,62.129803,62.134056,47.093971,38771
1997-02-04,60.431751,62.814976,60.431751,61.636131,46.716572,24085
1997-02-05,62.644749,62.985207,59.580601,60.967979,46.210155,44645
1997-02-06,60.857330,60.857330,59.772110,60.138107,45.581158,104564
1997-02-07,60.091293,60.772213,60.091293,60.529636,45.877918,10573
1997-02-10,60.474312,61.495693,60.474312,61.146721,46.345627,25847
1997-02-11,61.282906,62.985207,61.282906,61.946804,46.952045,264347
1997-02-12,61.708481,63.151180,61.708481,62.942650,47.706841,39358
1997-02-13,62.985207,63.836357,62.985207,63.423550,48.071331,93402
1997-02-14,64.261932,64.261932,63.581013,63.951263,48.471310,153321
1997-02-17,64.687508,64.687508,63.500153,63.836357,48.384216,48170
1997-02-18,63.836357,63.921474,62.985207,63.019253,47.764900,66380
1997-02-19,63.070324,63.410782,62.500050,63.215019,47.913284,86353
1997-02-20,63.070324,63.410782,63.070324,63.278854,47.961662,24085
