Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,41.237499,41.875000,41.125000,41.599998,27.377707,103600
1997-01-02,41.875000,42.237499,40.631248,41.168751,27.093899,400800
1997-01-03,40.756248,42.743752,40.756248,42.312500,27.846617,487200
1997-01-06,42.750000,43.393749,42.631248,43.325001,28.512964,198400
1997-01-07,43.218750,44.500000,43.200001,44.162498,29.064137,311200
1997-01-08,44.531250,44.750000,43.643749,43.912498,28.899603,61600
1997-01-09,43.875000,44.000000,43.631248,43.787498,28.817348,44800
1997-01-10,44.062500,45.250000,44.000000,44.724998,29.434317,264400
1997-01-13,44.031250,44.662498,44.031250,44.625000,29.368521,324000
1997-01-14,44.843750,45.731251,44.750000,45.593750,30.006075,854800
1997-01-15,45.625000,45.868752,45.125000,45.650002,30.043087,258000
1997-01-16,46.612499,47.250000,42.625000,43.812500,28.833796,290400
1997-01-17,43.750000,44.681252,42.312500,43.256248,28.467720,815600
1997-01-20,45.099998,45.099998,42.193748,42.700001,28.101635,450400
1997-01-21,42.375000,44.000000,41.250000,43.724998,28.776209,1131200
1997-01-22,44.125000,44.125000,43.125000,43.437500,28.586998,17200
1997-01-23,43.437500,43.437500,43.437500,43.437500,28.586998,0
1997-01-24,43.125000,43.250000,42.718750,42.993752,28.294968,211200
1997-01-27,42.500000,45.406250,42.500000,44.812500,29.491905,1506400
1997-01-28,43.000000,45.875000,43.000000,45.668751,30.055418,226000
1997-01-29,45.756248,46.937500,45.000000,46.424999,30.553133,1350400
1997-01-30,45.618752,46.000000,45.000000,45.018749,29.627645,204400
1997-01-31,43.762501,45.625000,43.625000,45.362499,29.853872,169600
1997-02-03,44.625000,44.750000,44.250000,44.349998,29.187531,182800
1997-02-04,44.250000,44.968750,44.012501,44.493752,29.282135,272400
1997-02-05,44.562500,44.562500,43.200001,43.968750,28.936623,95200
1997-02-06,44.000000,44.375000,43.968750,44.349998,29.187531,50000
1997-02-07,44.375000,44.625000,44.131248,44.156250,29.060028,76800
1997-02-10,44.162498,44.375000,43.637501,43.849998,28.858475,34400
