Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,17.777777,18.555555,17.777777,18.333332,5.764169,91800
1997-01-02,18.333332,18.611111,18.083332,18.494444,5.814823,120600
1997-01-03,18.111111,18.750000,18.111111,18.655556,5.865479,156600
1997-01-06,18.822222,18.822222,18.255554,18.788889,5.907401,93600
1997-01-07,18.444445,18.883333,18.444445,18.805555,5.912639,129600
1997-01-08,19.211111,19.222221,18.783333,19.194445,6.034910,92700
1997-01-09,19.333332,20.538889,19.111111,20.511110,6.448883,209700
1997-01-10,21.277777,21.950001,21.277777,21.944445,6.899536,377100
1997-01-13,22.166666,22.166666,20.833332,21.466665,6.749318,180900
1997-01-14,21.333332,21.722221,19.966665,19.972221,6.279449,185400
1997-01-15,20.888887,21.366667,20.450001,21.366667,6.717877,177300
1997-01-16,22.427776,22.833332,20.033333,20.255554,6.368533,210600
1997-01-17,20.222221,20.777777,19.100000,19.655556,6.179889,128700
1997-01-20,19.555555,20.222221,19.516666,19.755554,6.211328,125100
1997-01-21,19.549999,19.549999,18.666666,18.799999,5.910891,167400
1997-01-22,19.277777,19.666666,19.227777,19.477777,6.123994,80100
1997-01-23,19.477777,19.477777,19.477777,19.477777,6.123994,0
1997-01-24,19.777777,19.777777,18.783333,19.105555,6.006963,60300
1997-01-27,18.900000,19.411112,18.900000,19.138887,6.017443,49500
1997-01-28,19.194445,19.194445,18.055555,18.805555,5.912639,159300
1997-01-29,19.111111,19.388887,19.072222,19.177776,6.029670,121500
1997-01-30,19.005554,19.333332,18.944445,19.227777,6.045390,152100
1997-01-31,19.000000,19.522223,19.000000,19.388887,6.096044,158400
1997-02-03,19.000000,19.444445,18.888887,19.394444,6.097793,151200
1997-02-04,19.288889,19.766666,19.222221,19.600000,6.162419,594000
1997-02-05,19.772223,20.111111,19.277777,19.327778,6.076831,62100
1997-02-06,19.333332,19.472221,19.277777,19.455555,6.117005,70200
1997-02-07,19.877777,19.888887,19.338888,19.444445,6.113513,75600
1997-02-10,19.444445,19.777777,19.333332,19.588888,6.158927,155700
1997-02-11,19.477777,19.799999,19.450001,19.716665,6.199101,401400
1997-02-12,19.777777,20.333332,18.888887,19.688889,6.190369,243900
1997-02-13,20.000000,20.000000,19.372223,19.483334,6.125738,55800
