Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,1.843529,1.843529,1.835783,1.843529,1.474084,129100
1997-01-02,1.781561,1.828037,1.781561,1.805961,1.444044,64550
1997-01-03,1.781561,1.804799,1.781561,1.804799,1.443115,25820
1997-01-06,1.820291,1.820291,1.820291,1.820291,1.455503,12910
1997-01-07,1.766070,1.766070,1.719594,1.732762,1.385514,142010
1997-01-08,1.766070,1.780787,1.743606,1.743606,1.394185,90370
1997-01-09,1.758324,1.758324,1.743994,1.743994,1.394495,103280
1997-01-10,1.781561,1.781561,1.766070,1.769943,1.415244,77460
1997-01-13,1.758324,1.773815,1.758324,1.773815,1.418341,51640
1997-01-14,1.773815,1.773815,1.752514,1.752514,1.401308,103280
1997-01-15,1.760260,1.874512,1.760260,1.874512,1.498857,335660
1997-01-16,1.998447,1.998447,1.828037,1.828037,1.461696,219470
1997-01-17,1.828037,1.828037,1.781561,1.802475,1.441257,116190
1997-01-20,1.781561,1.843529,1.781561,1.812545,1.449309,219470
1997-01-21,1.795117,1.797053,1.719594,1.742445,1.393257,232380
1997-01-22,1.758324,1.789307,1.758324,1.772266,1.417102,129100
1997-01-23,1.772266,1.772266,1.772266,1.772266,1.417102,0
1997-01-24,1.781561,1.781561,1.781561,1.781561,1.424534,25820
1997-01-27,1.758324,1.820291,1.742832,1.802863,1.441567,232380
1997-01-28,1.820291,1.820291,1.766070,1.766070,1.412147,103280
1997-01-29,1.804799,1.874512,1.797053,1.859021,1.486471,710051
1997-01-30,1.859021,1.965140,1.859021,1.921763,1.536639,2207613
1997-01-31,1.841980,1.975209,1.839656,1.940740,1.551813,1420102
1997-02-03,1.896976,1.936480,1.896976,1.924861,1.539116,180740
1997-02-04,1.943451,2.013939,1.943451,1.990314,1.591453,645501
1997-02-05,2.013939,2.013939,1.982955,1.990701,1.591762,232380
1997-02-06,2.019361,2.021685,1.953908,1.965140,1.571324,90370
1997-02-07,1.951972,1.961654,1.938416,1.944226,1.554601,116190
1997-02-10,1.967464,1.982955,1.959718,1.960105,1.567297,90370
1997-02-11,1.944226,2.044923,1.944226,2.018199,1.613750,684231
1997-02-12,2.013939,2.060415,2.013939,2.047634,1.637285,1665392
1997-02-13,2.053056,2.053056,2.013939,2.017812,1.613440,129100
1997-02-14,2.013939,2.036402,2.013939,2.036402,1.628304,142010
1997-02-17,2.013939,2.024009,2.008130,2.013939,1.610343,103280
1997-02-18,2.075906,2.075906,2.017812,2.020523,1.615608,245290
1997-02-19,2.052669,2.052669,1.960492,1.960492,1.567607,142010
1997-02-20,1.975209,1.975209,1.938804,1.938804,1.550265,77460
1997-02-21,1.936480,1.936480,1.917115,1.919052,1.534472,64550
1997-02-24,1.897750,1.919052,1.859021,1.859021,1.486471,322750
1997-02-25,1.859021,1.882258,1.835783,1.835783,1.467890,180740
1997-02-26,1.874512,1.874512,1.829973,1.835008,1.467270,90370
1997-02-27,1.843529,1.843529,1.820291,1.843529,1.474084,1975233
1997-02-28,1.897750,1.897750,1.882258,1.882258,1.505051,25820
1997-03-03,2.013939,2.051507,1.944226,2.013939,1.610343,3137134
1997-03-04,2.013939,2.068161,1.982955,2.037177,1.628924,361480
1997-03-05,2.091398,2.091398,2.041050,2.041050,1.632021,206560
1997-03-06,2.021685,2.060415,1.998447,2.013939,1.610343,839151
1997-03-07,2.013939,2.013939,2.013939,2.013939,1.610343,0
1997-03-10,1.975209,1.975209,1.928734,1.928734,1.542213,180740
1997-03-11,1.952359,1.954295,1.936867,1.940740,1.551813,154920
1997-03-12,1.975209,1.975209,1.936480,1.951972,1.560794,219470
1997-03-13,1.946162,1.967464,1.936867,1.936867,1.548717,116190
1997-03-14,1.936480,2.070097,1.906271,2.047247,1.636976,1071531
1997-03-17,2.006193,2.184349,2.006193,2.129353,1.702628,968251
1997-03-18,2.126642,2.130128,2.091398,2.092947,1.673518,503490
1997-03-19,2.106890,2.106890,2.053056,2.054992,1.643169,271110
1997-03-20,2.052669,2.130128,2.052669,2.111150,1.688073,413120
1997-03-21,2.114636,2.130128,2.091786,2.091786,1.672590,193650
1997-03-24,2.091786,2.091786,2.091786,2.091786,1.672590,0
1997-03-25,2.091786,2.207587,2.091398,2.175829,1.739791,271110
1997-03-26,2.130515,2.168083,2.130128,2.157239,1.724925,180740
1997-03-27,2.130128,2.135937,2.106890,2.106890,1.684667,64550
1997-03-28,2.106890,2.106890,2.106890,2.106890,1.684667,0
1997-03-31,2.052669,2.052669,1.975209,2.013939,1.610343,555130
1997-04-01,1.998447,2.145620,1.951972,2.137874,1.709442,451850
1997-04-02,2.134001,2.134001,2.045310,2.068161,1.653699,51640
1997-04-03,2.091398,2.091398,2.052669,2.053056,1.641621,90370
1997-04-04,2.053056,2.062351,2.044923,2.044923,1.635118,77460
1997-04-07,2.044923,2.044923,1.994574,2.010841,1.607866,180740
1997-04-08,2.010841,2.010841,2.010841,2.010841,1.607866,0
1997-04-09,2.017812,2.060415,2.015101,2.036402,1.628304,103280
1997-04-10,2.052669,2.052669,1.998447,1.998447,1.597956,180740
1997-04-11,2.013939,2.013939,1.982955,2.006193,1.604149,64550
1997-04-14,2.006193,2.006193,2.006193,2.006193,1.604149,0
1997-04-15,2.013939,2.013939,1.975209,1.975209,1.579375,193650
1997-04-16,1.975209,1.975209,1.975209,1.975209,1.579375,0
1997-04-17,2.006193,2.006193,1.975209,1.980632,1.583711,64550
1997-04-18,1.980632,1.980632,1.980632,1.980632,1.583711,0
1997-04-21,1.998447,1.998447,1.975209,1.990701,1.591762,142010
1997-04-22,1.982955,2.019749,1.982955,2.006193,1.604149,154920
1997-04-23,1.998447,2.021685,1.998447,2.021685,1.616537,25820
1997-04-24,2.029431,2.029431,1.991476,2.006580,1.604459,142010
1997-04-25,2.013939,2.013939,2.013939,2.013939,1.610343,64550
1997-04-28,2.025558,2.052669,2.013939,2.017812,1.613440,116190
1997-04-29,2.044923,2.060027,2.013939,2.013939,1.610343,206560
1997-04-30,2.060802,2.076294,2.031755,2.044535,1.634807,1626662
1997-05-01,2.044535,2.044535,2.044535,2.044535,1.634807,0
1997-05-02,2.052669,2.079392,2.045697,2.045697,1.635736,619680
1997-05-05,2.013939,2.014326,1.991089,1.996123,1.596097,387300
1997-05-06,2.013939,2.013939,1.936480,1.936867,1.548717,490580
1997-05-07,2.013939,2.013939,1.975209,1.977146,1.580923,103280
1997-05-08,1.998447,1.998447,1.975209,1.975209,1.579375,180740
1997-05-09,1.975209,1.975209,1.951972,1.955845,1.563892,206560
1997-05-12,1.975209,1.982955,1.944226,1.944226,1.554601,103280
1997-05-13,1.975209,1.975209,1.936480,1.945388,1.555530,142010
1997-05-14,1.975209,1.975209,1.959718,1.959718,1.566988,64550
1997-05-15,1.975209,2.013939,1.975209,1.983343,1.585879,284020
1997-05-16,1.975209,2.013939,1.975209,1.975209,1.579375,284020
1997-05-19,1.979082,2.002320,1.975209,1.975209,1.579375,219470
1997-05-20,1.975209,1.975209,1.944226,1.961654,1.568536,193650
1997-05-21,1.977146,1.977146,1.955845,1.955845,1.563892,193650
1997-05-22,1.975209,1.979082,1.944226,1.944226,1.554601,374390
1997-05-23,1.975209,1.975209,1.936480,1.950423,1.559556,90370
1997-05-26,1.975209,1.975209,1.936480,1.944226,1.554601,129100
1997-05-27,1.951972,1.951972,1.936480,1.938416,1.549955,142010
1997-05-28,1.975209,1.975209,1.944613,1.944613,1.554910,64550
1997-05-29,1.977146,1.977146,1.936480,1.966302,1.572253,154920
1997-05-30,1.975209,1.975209,1.940353,1.959330,1.566678,51640
1997-06-02,1.975209,1.975209,1.941515,1.941515,1.552433,129100
1997-06-03,1.936480,1.975209,1.936480,1.959718,1.566988,258200
1997-06-04,1.986828,1.986828,1.945388,1.961654,1.568536,129100
1997-06-05,1.975209,1.975209,1.948099,1.952359,1.561104,232380
1997-06-06,1.951972,1.962041,1.948099,1.952746,1.561414,167830
1997-06-09,1.975209,1.975209,1.936480,1.940353,1.575029,103280
1997-06-10,1.944226,1.944226,1.916728,1.918664,1.557423,400210
1997-06-11,1.991089,2.004257,1.974435,1.978308,1.605838,839151
1997-06-12,1.965140,1.980244,1.965140,1.980244,1.607410,309840
1997-06-13,1.959718,1.971336,1.959718,1.959718,1.590748,232380
1997-06-16,1.975209,1.975209,1.936480,1.938804,1.573772,180740
1997-06-17,1.975209,1.975209,1.940353,1.944613,1.578487,245290
1997-06-18,1.944226,1.951197,1.940740,1.940740,1.575343,90370
1997-06-19,1.975209,1.975209,1.936480,1.944226,1.578173,167830
1997-06-20,1.955070,1.959718,1.946550,1.946937,1.580373,154920
1997-06-23,1.971336,1.971336,1.920988,1.920988,1.559310,180740
1997-06-24,1.936480,1.936480,1.920988,1.920988,1.559310,103280
1997-06-25,1.936480,1.936480,1.913242,1.920988,1.559310,167830
1997-06-26,1.913242,1.936480,1.905496,1.924861,1.562454,296930
1997-06-27,1.936480,1.936480,1.914017,1.914017,1.553652,116190
1997-06-30,1.913242,1.920213,1.897750,1.920213,1.558681,219470
1997-07-01,1.913242,1.913242,1.886131,1.899687,1.542019,180740
1997-07-02,1.914017,1.914017,1.897750,1.905496,1.546735,167830
