Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Traffic_Light_State,Weather_Condition,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition
40.84227529,-73.70314869,,49.8934348,82.65277993,Yellow,Clear,0,-0.60919909,2,45,450.7600551,19.57433653,High
40.8311194,-73.98735409,,22.38396487,45.8292978,Green,Clear,0,0.96544237,16,1,321.8003405,5.385553512,High
40.81954876,-73.73246186,,46.88969944,82.7724648,Green,Rain,0,0.289660316,16,49,231.1526548,10.27747749,High
40.72584888,-73.98013411,,5.730536423,37.69556744,Red,Fog,0,-0.271964738,66,,410.3842921,29.24327945,High
,-73.96163054,,61.34803436,22.31335795,Red,Snow,0,-0.797605617,3,5,,16.80145876,Low
40.64111175,-73.82509534,,9.150745621,,Green,Clear,0,,78,27,349.0453075,29.80584194,High
40.7971386,-73.79744494,,9.162774286,34.18201801,Green,Snow,0,0.544283849,,42,363.745931,18.89057868,High
40.81236202,-73.80175125,,40.9936224,40.42793232,Yellow,,0,0.744057889,92,22,82.19081477,12.11757313,Medium
40.71700628,-73.78956237,,73.90533684,80.60737469,Green,Clear,0,-0.439931005,27,4,477.23242,17.22367898,High
40.87236438,-73.74021,,65.53559165,,Green,Fog,0,,28,8,,13.04474291,Low
40.72249549,-73.83021193,,60.48137718,56.00173845,Green,Fog,,0.666465707,77,,295.9050841,18.44697863,Medium
40.79353376,-73.98380906,,38.7398743,69.65316331,,Fog,0,0.714162384,,2,179.5558805,22.22665355,Medium
40.89474427,-73.74201043,,61.94792468,17.32821125,Red,Fog,0,-0.41602953,70,12,157.0058131,7.226278361,Low
40.82852825,-73.74094204,,64.42220656,94.97458763,Yellow,,0,-0.509843381,72,24,323.5250253,16.80828751,High
40.64996314,-73.96601803,,24.43589569,,Red,Snow,0,0.362368388,83,36,,7.264291397,Medium
40.84620305,-73.8822499,,21.67302311,45.85708774,Red,Clear,0,0.731100406,25,8,421.7381674,7.129836673,Medium
40.73533093,-73.92847504,,39.81468027,73.00334765,Green,Snow,0,0.302029313,34,39,108.9747813,20.30003675,High
40.65288136,-73.84149223,,71.17270014,90.33113551,Red,Snow,0,-0.187133369,33,6,122.327947,29.55137,High
40.75553085,-73.80884497,,50.22358936,,Yellow,Rain,0,-0.770141818,35,47,391.9104429,11.8229783,High
40.72540505,-73.98032961,,19.51636299,89.38515987,Green,,0,0.386515378,80,10,106.8701081,18.44268949,High
40.76204205,-73.79413576,,60.81684312,48.55435921,Red,Clear,0,0.215513476,25,39,182.0765861,18.18805238,Low
40.8682167,-73.97079465,,36.09859482,82.04990255,Green,Clear,0,-0.765305119,32,7,470.3349269,8.3046401,High
40.76353774,-73.74218839,,57.38454322,24.76400019,Green,Rain,0,-0.889188305,35,34,263.2759893,20.71872311,Low
40.86608116,-73.96230427,114,79.99755568,25.02061512,Yellow,Rain,0,0.552604021,95,10,192.1099167,7.232791421,Medium
40.86982813,-73.81569064,17,71.09147218,78.95197163,Yellow,Clear,0,0.190827749,91,2,234.0963555,20.24696729,Medium
40.63173934,-73.80265008,80,47.49605859,63.05449092,Red,Clear,0,-0.559157011,42,27,351.9970574,16.22270824,Medium
40.82747193,,231,26.9155953,24.62641256,Yellow,Snow,0,-0.248171216,90,37,377.4466868,29.47099974,High
40.79104281,-73.97259663,175,74.60523206,,Red,Clear,0,-0.013383939,68,21,101.3861145,9.823282794,High
40.65820559,-73.76058947,188,15.56714847,54.77980321,Green,Fog,0,0.25269721,33,48,369.7603455,28.73289816,High
40.67393408,-73.90893909,167,48.5824889,39.12002347,Green,Snow,0,0.787989239,79,23,300.3471901,17.97192721,Medium
,-73.79768763,91,,39.7248796,Yellow,,0,6.70E-06,71,13,242.8719175,15.70433172,Low
40.73719674,-73.90429715,232,31.17867378,92.06030033,Green,Fog,,,92,26,442.5890998,29.06214272,High
40.71339651,,218,54.07900288,,Red,Fog,0,-0.65012683,,7,179.6482814,5.92647407,High
40.68747297,-73.9956266,178,45.11380836,40.98205382,Red,Clear,0,0.497610069,87,8,103.7934779,22.51005713,Medium
40.65934012,-73.94228395,184,55.88293041,39.04751331,Yellow,Fog,0,-0.536062208,80,1,151.1046285,27.42719042,Medium
,-73.97280139,57,78.34660845,10.34383671,Red,Rain,1,0.38695272,65,34,427.3933685,11.74513769,High
40.8773613,-73.72960085,,,82.63390704,Green,Rain,0,0.709341101,40,48,131.1807333,21.29749814,High
40.82978328,-73.8114801,167,25.97242405,73.09278634,Green,Fog,0,-0.576236485,73,11,362.1701083,14.64284589,Medium
40.60993112,-73.90914507,197,75.04964466,80.57636223,Green,Rain,0,0.071365132,17,33,144.4690101,6.467794259,High
40.76596812,-73.95106572,120,28.45428068,88.91625854,Red,Rain,1,-0.1202627,73,41,388.6328016,17.31470752,High
40.72140397,-73.82165453,100,27.52047327,65.04610037,Red,Fog,0,-0.446990048,3,25,72.31613698,16.94827634,Medium
40.69008545,-73.83530904,287,52.86087348,36.13426325,Green,,0,-0.545068225,90,25,,21.22748639,High
40.74125197,-73.98342339,69,38.21844785,74.93906729,Green,Rain,0,,2,,397.9887355,16.98513902,Medium
40.66698963,-73.81812961,145,41.96284794,39.80280635,Yellow,Snow,0,-0.547175667,3,34,204.1390197,22.39418714,Medium
40.6469435,-73.71582238,284,7.029178891,98.42862843,Green,Snow,0,-0.986647653,43,27,68.99947648,29.37110103,High
40.88031233,-73.86604614,79,60.28169793,40.18470495,Red,Rain,,-0.21963823,3,37,213.2481844,9.854465063,Low
40.87991609,-73.98463203,11,9.31916075,22.47702106,Green,Fog,0,0.461291812,99,44,235.9270308,20.10842522,High
40.80872297,-73.86498144,271,23.1905525,45.03408147,Green,Snow,1,0.671849881,,40,245.0862286,,High
40.63494665,-73.76998248,225,73.80382208,49.80791603,Red,Snow,0,0.55613466,10,9,,20.10191059,High
40.71545919,-73.78625346,280,41.07126665,96.41704434,Red,Clear,0,0.03721637,44,47,497.5063367,18.6274997,High
40.70766328,-73.96944802,46,41.35789622,13.83969231,Yellow,Snow,0,0.049343553,58,20,316.1279239,15.48228511,Low
